3,8,9
2,8,9
5,4,6
1000000,8,9
3,4,6
8,9,1
4,6,7
1,2,5
1000000,2,5
3,6,7
2,6,7
5,10,8
1,6,7
1000000,6,7
3,10,6
9,8,4
10,6,7
4,2,5
1000000,3,2
1,9,6
8,10,3
5,4
1000000,9,6
10,3,4
12,9,3
11,9,3
6,7,2
8,5,7
1
1000000,13,14
10,9,3
12,13,14
11,13,14
6,5,7
8,9,3
5,7,9
4,7,9
2,7,9
1,7,9
1000000,7,9
10,13,14
7,9,13
15,3,12
6,9,13
3,12,11
5,9,13
4,9,13
2,12,11
1,12,11
1000000,12,11
10,7,15
11,8,6
9,7,15
13,14,5
2,1
1000000,1,16
10,8,7
1,16,17
14,5,4
3,11,9
7,15,13
4,6,15
5,2,11
8
1000000,16,17
10,1,14
6,15,13
18,19,20
17,19,20
12,4,2
9,1,14
5,15,19
16,13,7
1,14,3
1000000,14,3
10,4,15
7,8,19
14,3,21
11,6,8
20,18,17
9,4,15
3,21,2
16,1,21
5
1000000,10,6
4,22,23
10,6,8
1,21,2
19,18,17
7,14,11
9,6,14
20,8,6
11,15,3
23,24,16
17,12,5
1000000,21,2
4,10,15
22,24,16
5,25,21
16,12,2
15,12,2
